id,items_,filename,from_,to_
81,10,cta0017.seg_R2,62246.0,102216.0
82,03,cta0018.seg_R2,0.0,21442.0
83,02b,cta0018.seg_R2,21442.0,76086.0
84,11b,cta0018.seg_R2,76086.0,157084.0
85,11,cta0018.seg_R2,166600.0,281900.0
86,02,cta0018.seg_R2,281900.0,374240.0
87,02,cta0018.seg_R2,395392.0,549426.0
88,13,cta0018.seg_R2,564698.0,603572.0
89,11b,cta0018.seg_R2,616750.0,696918.0
90,12,cta0018.seg_R2,709194.0,864344.0
91,10,cta0018.seg_R2,864344.0,900250.0
92,03,cta0018.seg_R2,925160.0,956540.0
93,10,cta0018.seg_R2,976114.0,1043876.0
94,02,cta0018.seg_R2,1059152.0,1138732.0
95,11,cta0018.seg_R2,1144532.0,1215438.0
96,12,cta0018.seg_R2,1233968.0,1294684.0
97,13,cta0018.seg_R2,1312232.0,1445596.0
98,02,cta0018.seg_R2,1455766.0,1517532.0
99,02b,cta0019.seg_R2,0.0,37908.0
100,02b,cta0019.seg_R2,51268.0,92778.0
101,02b,cta0019.seg_R2,110370.0,165228.0
102,12,cta0019.seg_R2,183994.0,215130.0
103,01a,cta0019.seg_R2,224212.0,252878.0
104,10,cta0020.seg_R2,0.0,76346.0
105,12,cta0020.seg_R2,92678.0,127976.0
106,10,cta0020.seg_R2,135492.0,165418.0
107,11,cta0020.seg_R2,188920.0,213076.0
108,01a,cta0020.seg_R2,232618.0,263028.0
109,11,cta0021.seg_R2,0.0,81854.0
110,12,cta0021.seg_R2,98464.0,141574.0
111,12,cta0021.seg_R2,141574.0,223696.0
112,10,cta0021.seg_R2,223696.0,265200.0
113,12,cta0021.seg_R2,291186.0,324704.0
114,01a,cta0021.seg_R2,340882.0,432180.0
115,12,cta0022.seg_R2,0.0,159108.0
116,02b,cta0022.seg_R2,174336.0,215516.0
117,11b,cta0022.seg_R2,215516.0,258004.0
118,13,cta0022.seg_R2,258004.0,300296.0
119,01b,cta0022.seg_R2,326058.0,395770.0
120,03a,cta0023.seg_R2,0.0,72346.0
121,08,cta0024.seg_R2,0.0,57052.0
122,12,cta0026.seg_R2,0.0,65702.0
123,10,cta0026.seg_R2,65702.0,145024.0
124,13,cta0026.seg_R2,178822.0,231548.0
125,10,cta0026.seg_R2,250882.0,333364.0
126,12,cta0026.seg_R2,358190.0,403224.0
127,12,cta0026.seg_R2,425124.0,450532.0
128,01,cta0026.seg_R2,473430.0,554114.0
129,13,cta0027.seg_R2,0.0,54666.0
130,02,cta0027.seg_R2,65662.0,115370.0
131,11,cta0027.seg_R2,153468.0,248116.0
132,10,cta0027.seg_R2,252576.0,318376.0
133,10,cta0027.seg_R2,348644.0,433558.0
134,12,cta0027.seg_R2,453166.0,520104.0
135,02,cta0027.seg_R2,520104.0,624678.0
136,11b,cta0027.seg_R2,664212.0,743956.0
137,02,cta0027.seg_R2,757850.0,841012.0
138,02,cta0028.seg_R2,0.0,64486.0
139,13,cta0029.seg_R2,0.0,117502.0
140,02,cta0029.seg_R2,117502.0,188700.0
141,02,cta0029.seg_R2,210502.0,269232.0
142,01a,cta0029.seg_R2,286728.0,329106.0
143,01a,cta0030.seg_R2,0.0,76542.0
144,11,cta0031.seg_R2,0.0,33780.0
145,01a,cta0031.seg_R2,33780.0,74648.0
146,02,cta0032.seg_R2,0.0,74350.0
147,13,cta0033.seg_R2,0.0,26090.0
148,10,cta0033.seg_R2,26090.0,77780.0
149,10,cta0033.seg_R2,87548.0,119600.0
150,01b,cta0033.seg_R2,128314.0,164298.0
151,11,cta0034.seg_R2,0.0,131470.0
152,02,cta0034.seg_R2,147904.0,194442.0
153,12,cta0034.seg_R2,194442.0,244448.0
154,02,cta0034.seg_R2,254682.0,300274.0
155,10,cta0034.seg_R2,321204.0,419350.0
156,02,cta0035.seg_R2,0.0,35970.0
157,01a,cta0035.seg_R2,55668.0,155854.0
158,01b,cta0036.seg_R2,0.0,97064.0
159,10,cta0037.seg_R2,0.0,97088.0
160,02,cta0037.seg_R2,129486.0,190440.0
161,02b,cta0037.seg_R2,232670.0,318398.0
162,02b,cta0037.seg_R2,331998.0,366678.0
163,11b,cta0037.seg_R2,400936.0,465424.0
164,11,cta0037.seg_R2,465424.0,542188.0
165,02b,cta0037.seg_R2,558042.0,594730.0
166,12,cta0037.seg_R2,594730.0,707870.0
167,01a,cta0037.seg_R2,732220.0,812148.0
168,02,cta0038.seg_R2,0.0,96440.0
